Metric,Environment,K1,K10,K100,K15,K20,K25,K3,K30,K5,K50,K7,K75
MAP,scifact+BM25,0.5578,0.64556,0.65101,0.6478,0.64871,0.64975,0.61638,0.6501,0.63335,0.6506,0.64213,0.65092
NDCG,scifact+BM25,0.5786,0.69198,0.71479,0.69904,0.70169,0.70639,0.63871,0.70802,0.66746,0.71052,0.68379,0.71365
PRECISION,scifact+BM25,0.5786,0.09064,0.0104,0.06243,0.04783,0.0392,0.24192,0.033,0.16254,0.0202,0.12422,0.01373
RECALL,scifact+BM25,0.5578,0.81918,0.91895,0.84493,0.85446,0.87536,0.68155,0.88272,0.75039,0.89387,0.79498,0.91226
MAP,scifact+BM25+CPRR,0.55,0.64088,0.64623,0.64369,0.64388,0.64498,0.61524,0.64545,0.62736,0.64586,0.63522,0.64618
NDCG,scifact+BM25+CPRR,0.56856,0.68821,0.70952,0.69626,0.69658,0.70104,0.63823,0.70337,0.65697,0.70555,0.67355,0.70868
PRECISION,scifact+BM25+CPRR,0.56856,0.09097,0.01037,0.06332,0.04766,0.0392,0.24526,0.03311,0.1592,0.0202,0.12183,0.01373
RECALL,scifact+BM25+CPRR,0.55,0.82531,0.91728,0.8534,0.85424,0.87313,0.68696,0.88384,0.73266,0.89387,0.77865,0.91226
MAP,scifact+BM25+LHRR,0.1704,0.40383,0.40974,0.40635,0.40719,0.40853,0.36096,0.40886,0.38605,0.40936,0.39739,0.40968
NDCG,scifact+BM25+LHRR,0.18729,0.50923,0.53282,0.51666,0.51909,0.52477,0.42756,0.52638,0.47098,0.52887,0.49382,0.53199
PRECISION,scifact+BM25+LHRR,0.18729,0.09064,0.01043,0.06265,0.04783,0.03946,0.21516,0.03322,0.15385,0.02033,0.12088,0.01382
RECALL,scifact+BM25+LHRR,0.1704,0.8165,0.91906,0.84337,0.85223,0.87715,0.59972,0.8845,0.70619,0.89565,0.76918,0.91405
MAP,scifact+BM25+RDPAC,0.00667,0.01095,0.01159,0.01095,0.01095,0.01126,0.00667,0.01148,0.00967,0.01148,0.01062,0.01148
NDCG,scifact+BM25+RDPAC,0.00667,0.01552,0.02001,0.01552,0.01552,0.01699,0.00667,0.01834,0.01212,0.01834,0.01434,0.01834
PRECISION,scifact+BM25+RDPAC,0.00667,0.00333,0.0006,0.00222,0.00167,0.0016,0.00222,0.00156,0.004,0.00093,0.00381,0.00062
RECALL,scifact+BM25+RDPAC,0.00667,0.03,0.05333,0.03,0.03,0.03667,0.00667,0.04333,0.02,0.04333,0.02667,0.04333
